state,MedianRent,AverageRentZillow
Alabama,811,1461
Alaska,1240,1489
Arizona,1097,2195
Arkansas,760,1235
California,1586,3000
Colorado,1335,2250
Connecticut,1201,1485
Delaware,1150,1610
District of Columbia,1607,
Florida,1218,2575
Georgia,1042,1999
Hawaii,1651,2850
Idaho,887,2073
Illinois,1038,1650
Indiana,844,1395
Iowa,806,1026
Kansas,863,1056
Kentucky,783,1250
Louisiana,876,1395
Maine,873,1875
Maryland,1415,1844
Massachusetts,1336,2900
Michigan,892,1335
Minnesota,1010,1537
Mississippi,789,1410
Missouri,843,1300
Montana,836,1800
Nebraska,857,1186
Nevada,1159,2150
New Hampshire,1145,1930
New Jersey,1368,2200
New Mexico,857,1595
New York,1315,3400
North Carolina,932,1850
North Dakota,828,831
Ohio,825,1300
Oklahoma,818,1400
Oregon,1173,1854
Pennsylvania,958,1525
Rhode Island,1031,2150
South Carolina,918,1775
South Dakota,761,1025
Tennessee,897,1860
Texas,1082,1886
Utah,1090,2000
Vermont,999,1900
Virginia,1257,1997
Washington,1337,2195
West Virginia,732,899
Wisconsin,872,1100
Wyoming,853,1100
United States,1123.131093,2030.343913
